RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2022-06-30,2022-08-31,2023-05-31
395011,219,"Racine, WI",Msa,WI,2022-05-31,0.8,3.3,8.9
394346,220,"Athens, GA",Msa,GA,2022-05-31,1.5,4.4,12.5
395162,221,"Torrington, CT",Msa,CT,2022-05-31,1.2,3.7,8.4
395118,222,"St. Cloud, MN",Msa,MN,2022-05-31,0.6,2.9,7.7
394681,223,"Hilton Head Island, SC",Msa,SC,2022-05-31,2.2,6.5,14.8
753869,224,"Bloomington, IL",Msa,IL,2022-05-31,1.5,4.3,7.4
394680,225,"Hilo, HI",Msa,HI,2022-05-31,2.3,6.4,13.4
394960,226,"Panama City, FL",Msa,FL,2022-05-31,1.6,4.4,11.1
394748,227,"Kingston, NY",Msa,NY,2022-05-31,1.2,5.0,12.9
394519,228,"Daphne, AL",Msa,AL,2022-05-31,1.0,3.7,11.6
394623,229,"Gainesville, GA",Msa,GA,2022-05-31,1.7,5.1,13.6
395202,230,"Warner Robins, GA",Msa,GA,2022-05-31,1.6,4.3,9.1
394392,231,"Blacksburg, VA",Msa,VA,2022-05-31,0.5,2.1,5.0
394716,232,"Jacksonville, NC",Msa,NC,2022-05-31,1.7,4.6,10.7
395018,233,"Redding, CA",Msa,CA,2022-05-31,1.0,3.8,8.6
394872,234,"Monroe, LA",Msa,LA,2022-05-31,0.9,2.6,4.2
394729,235,"Joplin, MO",Msa,MO,2022-05-31,1.2,3.6,7.9
394559,236,"El Centro, CA",Msa,CA,2022-05-31,1.8,6.6,13.5
395151,237,"Terre Haute, IN",Msa,IN,2022-05-31,1.4,4.0,7.8
394896,238,"Muskegon, MI",Msa,MI,2022-05-31,1.1,3.3,11.0
394553,239,"East Stroudsburg, PA",Msa,PA,2022-05-31,1.3,4.5,13.1
395102,240,"Sioux City, IA",Msa,IA,2022-05-31,0.9,3.1,4.8
394651,241,"Greenville, NC",Msa,NC,2022-05-31,1.3,3.0,7.7
395210,242,"Waterloo, IA",Msa,IA,2022-05-31,0.7,2.7,4.5
394944,243,"Oshkosh, WI",Msa,WI,2022-05-31,0.3,2.0,7.1
395246,244,"Yuba City, CA",Msa,CA,2022-05-31,1.3,4.0,10.4
394299,245,"Abilene, TX",Msa,TX,2022-05-31,1.3,3.5,7.8
394485,246,"Columbia, MO",Msa,MO,2022-05-31,0.9,3.2,7.4
394539,247,"Dover, DE",Msa,DE,2022-05-31,1.2,3.5,8.4
394555,248,"Eau Claire, WI",Msa,WI,2022-05-31,1.1,3.0,8.3
394720,249,"Janesville, WI",Msa,WI,2022-05-31,1.9,4.6,10.4
394710,250,"Jackson, MI",Msa,MI,2022-05-31,1.6,3.4,8.7
395009,251,"Punta Gorda, FL",Msa,FL,2022-05-31,2.7,7.6,18.4
394393,252,"Bloomington, IN",Msa,IN,2022-05-31,0.8,3.1,8.6
395007,253,"Pueblo, CO",Msa,CO,2022-05-31,1.2,4.0,12.6
394386,254,"Billings, MT",Msa,MT,2022-05-31,1.7,4.2,8.4
394406,255,"Bowling Green, KY",Msa,KY,2022-05-31,1.2,4.1,7.8
394380,256,"Bend, OR",Msa,OR,2022-05-31,1.9,4.7,12.3
394306,257,"Albany, GA",Msa,GA,2022-05-31,0.6,2.4,5.5
395193,258,"Vineland, NJ",Msa,NJ,2022-05-31,0.9,3.0,7.5
394917,259,"Niles, MI",Msa,MI,2022-05-31,1.1,3.4,7.8
394731,260,"Kahului, HI",Msa,HI,2022-05-31,1.9,5.3,12.2
394946,261,"Ottawa, IL",Msa,IL,2022-05-31,0.9,3.1,7.0
395125,262,"State College, PA",Msa,PA,2022-05-31,1.1,2.9,5.3
394359,263,"Bangor, ME",Msa,ME,2022-05-31,1.8,4.0,11.3
394314,264,"Alexandria, LA",Msa,LA,2022-05-31,0.9,3.1,3.7
394523,265,"Decatur, AL",Msa,AL,2022-05-31,1.3,3.7,8.4
394662,266,"Hanford, CA",Msa,CA,2022-05-31,1.4,4.7,10.0
394707,267,"Iowa City, IA",Msa,IA,2022-05-31,1.3,3.1,5.1
395036,268,"Rocky Mount, NC",Msa,NC,2022-05-31,1.3,3.8,8.9
394873,269,"Monroe, MI",Msa,MI,2022-05-31,1.0,2.9,6.3
395223,270,"Wichita Falls, TX",Msa,TX,2022-05-31,0.7,3.1,7.8
394428,271,"Burlington, NC",Msa,NC,2022-05-31,1.9,6.2,14.7
394814,272,"Madera, CA",Msa,CA,2022-05-31,1.3,4.6,11.9
394723,273,"Jefferson City, MO",Msa,MO,2022-05-31,1.0,3.1,7.3
394453,274,"Chambersburg, PA",Msa,PA,2022-05-31,1.0,3.3,7.1
395152,275,"Texarkana, TX",Msa,TX,2022-05-31,0.9,2.9,7.6
394563,276,"Elizabethtown, KY",Msa,KY,2022-05-31,1.0,3.1,8.7
395000,277,"Pottsville, PA",Msa,PA,2022-05-31,1.0,4.4,10.9
395221,278,"Wheeling, OH",Msa,OH,2022-05-31,0.7,2.6,6.4
394598,279,"Florence, AL",Msa,AL,2022-05-31,1.5,4.1,9.1
394639,280,"Grand Junction, CO",Msa,CO,2022-05-31,1.1,3.6,10.6
394493,281,"Concord, NH",Msa,NH,2022-05-31,1.2,3.8,10.4
394537,282,"Dothan, AL",Msa,AL,2022-05-31,1.3,2.9,5.8
395066,283,"Santa Fe, NM",Msa,NM,2022-05-31,1.3,3.7,9.6
394727,284,"Johnstown, PA",Msa,PA,2022-05-31,0.1,1.7,4.8
395163,285,"Traverse City, MI",Msa,MI,2022-05-31,1.4,4.5,11.0
394671,286,"Hattiesburg, MS",Msa,MS,2022-05-31,0.6,2.1,4.3
394515,287,"Dalton, GA",Msa,GA,2022-05-31,1.3,3.7,9.7
394860,288,"Midland, TX",Msa,TX,2022-05-31,0.8,2.1,3.9
394685,289,"Homosassa Springs, FL",Msa,FL,2022-05-31,2.2,6.2,16.2
394351,290,"Auburn, AL",Msa,AL,2022-05-31,1.9,5.1,8.8
395182,291,"Valdosta, GA",Msa,GA,2022-05-31,1.3,3.6,8.2
394480,292,"Coeur d'Alene, ID",Msa,ID,2022-05-31,-0.4,0.8,10.5
395117,293,"Springfield, OH",Msa,OH,2022-05-31,1.5,3.9,8.4
395119,294,"St. George, UT",Msa,UT,2022-05-31,1.9,5.9,14.7
395079,295,"Vero Beach, FL",Msa,FL,2022-05-31,2.6,7.3,16.5
394930,296,"Odessa, TX",Msa,TX,2022-05-31,0.6,2.3,2.2
394900,297,"Napa, CA",Msa,CA,2022-05-31,0.6,2.7,6.3
